STATE_FIPS,STATE_NAME,YEAR,RETAIL_ESTABLISHMENTS,RETAIL_EMPLOYMENT,RETAIL_ANNUAL_PAYROLL,TOTAL_GDP_ANNUAL,RETAIL_GDP_ANNUAL,RETAIL_GDP_SHARE,RETAIL_EMPLOYMENT_PER_ESTABLISHMENT,RETAIL_PAYROLL_PER_EMPLOYEE,RETAIL_GDP_PER_ESTABLISHMENT,RETAIL_GDP_PER_RETAIL_EMPLOYEE,RETAIL_GDP_SHARE_RANK,RETAIL_EMPLOYMENT_RANK,RETAIL_GDP_PER_EMPLOYEE_RANK
54,West Virginia,2023,5696,77727,2533970,80365.000000,7495.250000,0.093265102968,13.645892,32.600898,1.315879564607,0.096430455312,17,41,37
29,Missouri,2023,19971,314186,10822333,346895.500000,30290.250000,0.087318082823,15.732112,34.445625,1.516711732011,0.096408656019,20,18,38
40,Oklahoma,2023,13097,188566,6413457,207072.750000,18042.750000,0.087132420852,14.397648,34.011736,1.377624646866,0.095684004540,21,28,39
33,New Hampshire,2023,5706,95663,3753201,93645.750000,9042.750000,0.096563378477,16.765335,39.233570,1.584779179811,0.094527142155,11,37,40
42,Pennsylvania,2023,40238,650539,22560244,789918.750000,61264.000000,0.077557343714,16.167280,34.679311,1.522540881754,0.094174215535,32,5,41
27,Minnesota,2023,17727,306468,10713640,389864.750000,28859.250000,0.074023747979,17.288204,34.958430,1.627982738196,0.094167254004,39,20,42
18,Indiana,2023,21015,335879,11809556,400369.500000,31258.750000,0.078074753447,15.982822,35.160150,1.487449440876,0.093065508710,31,17,43
31,Nebraska,2023,6925,110079,3727580,147146.500000,10053.250000,0.068321366801,15.895884,33.862771,1.451732851986,0.091327592002,46,36,44
55,Wisconsin,2023,18044,312489,10839167,347108.500000,28403.500000,0.081828880595,17.318167,34.686555,1.574124362669,0.090894399483,25,19,45
41,Oregon,2023,13800,214932,8391635,258023.250000,19403.000000,0.075198649734,15.574783,39.043209,1.406014492754,0.090275063741,36,27,46
21,Kentucky,2023,15020,215414,7447231,226942.500000,19385.250000,0.085419214118,14.341811,34.571713,1.290629161119,0.089990669130,23,26,47
30,Montana,2023,4706,62888,2376879,58605.000000,5639.750000,0.096233256548,13.363366,37.795430,1.198416914577,0.089679271085,13,43,48
35,New Mexico,2023,6382,95261,3368486,114059.000000,8453.500000,0.074115150931,14.926512,35.360599,1.324584769665,0.088740407932,38,38,49
19,Iowa,2023,10970,187097,5883109,201360.250000,15214.250000,0.075557365468,17.055333,31.444165,1.386896080219,0.081317444962,35,29,50
10,Delaware,2023,3742,62102,2301980,82091.000000,4484.250000,0.054625354789,16.595938,37.067727,1.198356493854,0.072207819394,50,44,51
